 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
   270.000,   1,  0.33521536E+09,   0.00000000E+00,  -0.73211212E+09,   0.00000000E+00,   0.00000000E+00,  -0.82223531E+07,   0.00000000E+00,   0.00000000E+00,  -0.75473506E-11,
   271.000,   1,  0.34317353E+09,   0.00000000E+00,  -0.74904947E+09,   0.00000000E+00,   0.00000000E+00,  -0.85386686E+07,   0.00000000E+00,   0.00000000E+00,  -0.38112500E-11,
   272.000,   1,  0.35113044E+09,   0.00000000E+00,  -0.76598412E+09,   0.00000000E+00,   0.00000000E+00,  -0.88549337E+07,   0.00000000E+00,   0.00000000E+00,  -0.15754615E-11,
   273.000,   1,  0.35908963E+09,   0.00000000E+00,  -0.78292364E+09,   0.00000000E+00,   0.00000000E+00,  -0.91712896E+07,   0.00000000E+00,   0.00000000E+00,  -0.40468297E-11,
   274.000,   1,  0.36704530E+09,   0.00000000E+00,  -0.79985186E+09,   0.00000000E+00,   0.00000000E+00,  -0.94866331E+07,   0.00000000E+00,   0.00000000E+00,  -0.16979499E-11,
   275.000,   1,  0.37500522E+09,   0.00000000E+00,  -0.81541540E+09,   0.00000000E+00,   0.00000000E+00,  -0.94864603E+07,   0.00000000E+00,   0.00000000E+00,   0.19474670E-11,
   276.000,   1,  0.38296528E+09,   0.00000000E+00,  -0.83097919E+09,   0.00000000E+00,   0.00000000E+00,  -0.94862874E+07,   0.00000000E+00,   0.00000000E+00,   0.31657595E-11,
   277.000,   1,  0.39092415E+09,   0.00000000E+00,  -0.84654066E+09,   0.00000000E+00,   0.00000000E+00,  -0.94861146E+07,   0.00000000E+00,   0.00000000E+00,  -0.16531000E-11,
   278.000,   1,  0.39885624E+09,   0.00000000E+00,  -0.86204977E+09,   0.00000000E+00,   0.00000000E+00,  -0.94859424E+07,   0.00000000E+00,   0.00000000E+00,  -0.16519036E-11,
   279.000,   1,  0.40683277E+09,   0.00000000E+00,  -0.87764578E+09,   0.00000000E+00,   0.00000000E+00,  -0.94857692E+07,   0.00000000E+00,   0.00000000E+00,  -0.31644304E-11,
   280.000,   1,  0.41479788E+09,   0.00000000E+00,  -0.89321945E+09,   0.00000000E+00,   0.00000000E+00,  -0.94855962E+07,   0.00000000E+00,   0.00000000E+00,  -0.24065354E-11,
   281.000,   1,  0.42275187E+09,   0.00000000E+00,  -0.90877138E+09,   0.00000000E+00,   0.00000000E+00,  -0.94854235E+07,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,
   282.000,   1,  0.43071526E+09,   0.00000000E+00,  -0.92434168E+09,   0.00000000E+00,   0.00000000E+00,  -0.94852506E+07,   0.00000000E+00,   0.00000000E+00,  -0.13623784E-11,
   283.000,   1,  0.43867265E+09,   0.00000000E+00,  -0.93990027E+09,   0.00000000E+00,   0.00000000E+00,  -0.94850778E+07,   0.00000000E+00,   0.00000000E+00,  -0.26608539E-11,
   284.000,   1,  0.44662264E+09,   0.00000000E+00,  -0.95544437E+09,   0.00000000E+00,   0.00000000E+00,  -0.94849052E+07,   0.00000000E+00,   0.00000000E+00,  -0.40938553E-11,
   285.000,   1,  0.45458990E+09,   0.00000000E+00,  -0.97102226E+09,   0.00000000E+00,   0.00000000E+00,  -0.94847322E+07,   0.00000000E+00,   0.00000000E+00,  -0.53718099E-11,
